0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
36.35,33.62,-91.85,35.44,-103.67,100.0,-32.75,45.44,99.09,62.72,90.0,4.53,100.0,100.0,100.0,100.0,40.9,-89.13
39.69,39.69,-52.78,31.65,-189.47,100.0,-4.53,27.63,95.98,47.73,83.92,3.51,100.0,100.0,100.0,100.0,31.65,-44.74
84.09,83.41,52.05,83.86,49.09,100.0,66.82,86.36,99.77,90.68,97.5,76.14,100.0,100.0,100.0,100.0,85.23,52.73
86.36,86.36,65.45,84.55,34.55,100.0,76.36,83.64,99.09,88.18,96.36,78.18,100.0,100.0,100.0,100.0,84.55,67.27
39.89,40.73,69.25,40.17,71.35,0.0,57.6,36.93,4.77,30.53,15.81,48.85,0.0,0.0,0.0,0.0,38.44,68.76
36.93,36.93,58.78,39.31,80.9,0.0,48.62,40.45,9.53,34.38,19.07,46.71,0.0,0.0,0.0,0.0,39.31,57.21
31.39,32.74,94.62,31.84,100.45,0.0,65.47,26.91,0.45,18.39,4.93,47.09,0.0,0.0,0.0,0.0,29.15,93.27
20.83,20.83,52.78,23.61,100.0,0.0,36.11,25.0,1.39,18.06,5.56,33.33,0.0,0.0,0.0,0.0,23.61,50.0
